;Tour de France;TDF Podium;TDF Top 5;TDF Top 10;TDF Bjerg/Point;TDF Etape;TDF Førertrøje;Grand Tour;GT Podium;GT Top 5;GT Top 10;GT Bjerg/Point;GT Etape;GT Førertrøje;Monument;Monument Top 3;Monument Top 5;WTT A;WTT A Top 3;WTT A Etape;WTC A;WTC A Top 3;WTT B;WTT B Top 3;WTT B Etape;WTC B;WTC B Top 3;WTT C;WTC C;WTT D;WTC D;NM A;NM A - ITT;NM B;NM B - ITT;OL-guld;OL-sølv;OL-bronze;OL ITT-guld;OL ITT-sølv;OL ITT-bronze;VM-guld;VM-sølv;VM-bronze;VM Top 5;VM ITT-guld;VM ITT-sølv;VM ITT-bronze;EM-guld;EM-sølv;EM-bronze;EM ITT-guld;EM ITT-sølv;EM ITT-bronze;OL-guld (amatør);OL-sølv (amatør);OL-bronze (amatør);OL-guld ITT (amatør);OL-sølv ITT (amatør);OL-bronze ITT (amatør);Andre
Point;120;45;20;8;20;12;4;80;30;13;5;13;8;2;50;13;3;25;7;3;20;4;15;3;2;14;2;8;8;4;4;5;2;3;1;65;30;25;40;20;16;80;23;17;3;35;10;7;18;3;2;10;2;1;20;8;5;15;6;4;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tour of California >2016;Grand Prix des Amériques;Tour du Sud-Est <1964;Critérium International <1963 + 1967-1977;;;Tjekkiet (2001-2005 + >2012);Tjekkiet (2001-2005 + >2012);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Grosser Sachsenpreis <1934;Tour of California <2017;Genoa-Nice 1911-1938 + 1954-1956 + 1965-1971 + >1972;;;Tyskland (<1942 + 1947-1956 + 1959-1975 + >1978);Tyskland;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Marseille-Lyon 1930-1937;;Giro del Lazio (1938-1957 + 1958-2008);;;Ukraine (1996-2009);Ukraine (<2010);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Milano-Modena <1929 + >1929;;Giro di Romagna 1925-1997;;;USA (>1998);USA (1984-1996 + >1998);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nord-West Schweizer Rundfahrt;;Gran Fondo - La Seicento >1940;;;Østrig (1988-1989 + 2006 + 2008 >2017);Østrig (2006 + 2008 + >2017);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paris-Menin <1924;;Grand Prix des Nations >1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Prudential RideLondon-Surrey Classic >2016;;Grosser Sachsenpreis >1933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rund um Spessart und Rhön;;Japan Cup Cycling Road Race <2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Wien-Berlin;;Marseille-Lyon <1930 + >1937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Wincanton Classic;;North Road 24 Hour Road Race >1896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Züri-Metzgete 1945-1971;;Paris-Clermont-Ferrand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Zürich-München;;Paris-Menin >1924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paris-Rennes >1925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Prudential RideLondon-Surrey Classic <2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Züri-Metzgete <1945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
