Placering;All time;Rytter;Point;Nationalitet;Hold;Årgang
317;3928;Mathias Vacek;2;Tjekkiet;Trek - Segafredo;2002
317;3928;Gerben Thijssen;2;Belgien;Intermarché - Circus - Wanty;1998
317;3928;Dmitriy Gruzdev;2;Kasakhstan;Astana Qazaqstan Team;1986
317;3928;Einer Rubio;2;Colombia;Movistar Team;1998
317;3928;Arnaud De Lie;2;Belgien;Lotto Dstny;2002
335;4029;Jose Goncalves;1;Portugal;-;1989
335;4029;Ian Garrison;1;USA;-;1998
335;4029;Michael Hepburn;1;Australien;Team Jayco AlUla;1991
335;4029;Ivo Oliveira;1;Portugal;UAE Team Emirates;1996
335;4029;Kamil Gradek;1;Polen;Bahrain - Victorious;1990
335;4029;Conn McDunphy;1;Irland;-;1997
335;4029;Mathias Norsgaard;1;Danmark;Movistar Team;1997
335;4029;Joel Suter;1;Schweiz;Tudor Pro Cycling Team;1998
335;4029;Rafael Reis;1;Portugal;Glassdrive Q8 Anicolor;1992
335;4029;Jorge Montenegro;1;Ecuador;Team Banco Guayaquil - Ecuador;1988
